OID,EFF_DATE,SITE_NO,SITE_TYPE_CODE,STATE_CODE,ARPT_ID,ARPT_NAME,CITY,COUNTRY_CODE,OWNERSHIP_TYPE_CODE,FACILITY_USE_CODE,RWY_ID,LAT1_DECIMAL,LONG1_DECIMAL,LAT2_DECIMAL,LONG2_DECIMAL,RWY_LEN,RWY_WIDTH,SURFACE_TYPE_CODE,COND,TREATMENT_CODE,PCN,PAVEMENT_TYPE_CODE,SUBGRADE_STRENGTH_CODE,TIRE_PRES_CODE,DTRM_METHOD_CODE,RWY_LGT_CODE,RWY_LEN_SOURCE,LENGTH_SOURCE_DATE,GROSS_WT_SW,GROSS_WT_DW,GROSS_WT_DTW,GROSS_WT_DDTW,Shape__Area,Shape__Length
7655,2025/11/27,26274.7,A,WA,S31,LOPEZ ISLAND,LOPEZ,US,PU,PU,16/34,48.48789372,-122.93770083,48.47993202,-122.93766025,2905,61,ASPH,GOOD,GRVD,,,,,,MED,3RD PARTY SURVEY,2016/01/21,12.5,,,,37437.2109375,2730.27758399069
7656,2025/11/27,26275.,A,WA,38W,LYNDEN MUNI/JANSEN FLD,LYNDEN,US,PU,PU,08/26,48.95601638,-122.46316166,48.95577555,-122.453075,2425,40,ASPH,GOOD,NONE,,,,,,NSTD,STATE,2002/08/15,12,,,,20882.6328125,2284.33891676704
7657,2025/11/27,26282.,A,WA,8W3,MANSFIELD,MANSFIELD,US,PU,PU,03/21,47.807235,-119.64108361,47.81153638,-119.632775,2575,46,ASPH,POOR,NONE,,,,,,LOW,,,,,,,24381.671875,2377.37578014965
7658,2025/11/27,26290.9,A,WA,M94,DESERT AIRE RGNL,MATTAWA,US,PR,PU,10/28,46.68943722,-119.9263,46.68506472,-119.91315277,3665,60,ASPH,EXCELLENT,NONE,,,,,,MED,STATE,2002/05/22,,,,,43395.828125,3306.31960532665
7659,2025/11/27,26293.,A,WA,70S,MEAD FLYING SERVICE,MEAD,US,PR,PU,16/34,47.79058722,-117.35821666,47.78378611,-117.35814888,2481,30,ASPH,FAIR,NONE,,,,,,,,,,,,,15307.6015625,2280.86313707176
7660,2025/11/27,26300.,A,WA,09S,SULLIVAN LAKE STATE,METALINE FALLS,US,PU,PU,16/34,48.84331361,-117.28398583,48.83847694,-117.28398611,1765,100,TURF,GOOD,NONE,,,,,,,STATE,2003/04/08,,,,,37814.2109375,1728.59020125821
7661,2025/11/27,26304.21,A,WA,W16,FIRST AIR FLD,MONROE,US,PR,PU,07/25,47.87145861,-121.99949388,47.87126833,-121.99099388,2087,34,ASPH,POOR,NONE,,,,,,NSTD,STATE,2005/07/26,,,,,14643.6484375,1924.4197099531
7662,2025/11/27,26304.8,A,WA,39P,STROM FLD,MORTON,US,PU,PU,07/25,46.55037138,-122.27022277,46.55035,-122.26302888,1810,40,ASPH,FAILED,NONE,,,,,,MED,,,,,,,14217.296875,1637.16178268938
7663,2025/11/27,26305.,A,WA,W20,MOSES LAKE MUNI,MOSES LAKE,US,PU,PU,16/34,47.14544888,-119.23784388,47.13855944,-119.23791972,2513,50,ASPH,GOOD,NONE,,,,,,MED,STATE,2002/05/02,8,,,,25218.5078125,2299.85848259962
7664,2025/11/27,26307.,A,WA,MWH,GRANT COUNTY INTL,MOSES LAKE,US,PU,PU,04/22,47.19673191,-119.33292569,47.21277327,-119.30030505,10000,100,CONC,GOOD,GRVD,,,,,,MED,3RD PARTY SURVEY,2006/05/13,75,100,175,475,201164.015625,9055.27827642024
7665,2025/11/27,26307.,A,WA,MWH,GRANT COUNTY INTL,MOSES LAKE,US,PU,PU,09/27,47.21766644,-119.31688058,47.2146733,-119.30350108,3500,90,CONC,GOOD,GRVD,,,,,,NSTD,3RD PARTY SURVEY,2006/05/13,100,150,270,475,63393.6640625,3217.05830496886
7666,2025/11/27,26307.,A,WA,MWH,GRANT COUNTY INTL,MOSES LAKE,US,PU,PU,14L/32R,47.22565758,-119.3265085,47.19042641,-119.30983933,13503,200,CONC,GOOD,GRVD,,,,,,HIGH,3RD PARTY SURVEY,2006/05/13,85,155,320,600,543329.4609375,12307.2520712785
7667,2025/11/27,26307.,A,WA,MWH,GRANT COUNTY INTL,MOSES LAKE,US,PU,PU,14R/32L,47.2240248,-119.33012436,47.21636397,-119.32649644,2936,75,CONC,GOOD,NONE,,,,,,,3RD PARTY SURVEY,2006/05/13,100,200,400,400,44327.125,2705.16783064369
7668,2025/11/27,26307.,A,WA,MWH,GRANT COUNTY INTL,MOSES LAKE,US,PU,PU,18/36,47.20827952,-119.32984572,47.19961238,-119.33401427,3327,75,ASPH,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,2006/05/13,75,170,300,400,50195.0390625,3055.23512491182
7670,2025/11/27,26322.11,A,WA,OKH,DELAURENTIS,OAK HARBOR,US,PR,PU,07/25,48.25154369,-122.68037386,48.25150375,-122.66697405,3265,60,ASPH,EXCELLENT,NONE,,,,,,LOW,3RD PARTY SURVEY,2006/04/03,5,,,,41014.9140625,3038.34163354966
7673,2025/11/27,26323.21,A,WA,W04,OCEAN SHORES MUNI,OCEAN SHORES,US,PU,PU,15/33,47.00340277,-124.14347777,46.99503716,-124.14128722,3100,50,ASPH,GOOD,NONE,,,,,,MED,REGION,2009/11/08,12.5,,,,30942.578125,2818.74342088244
7674,2025/11/27,26323.4,A,WA,43D,ODESSA MUNI,ODESSA,US,PU,PU,02/20,47.34430911,-118.68131875,47.35082777,-118.67314652,3124,58,ASPH,GOOD,NONE,,,,,,MED,,,5,,,,36645.8125,2862.59660390613
7676,2025/11/27,26324.,A,WA,S35,OKANOGAN LEGION,OKANOGAN,US,PU,PU,04/22,48.36011722,-119.57202694,48.36369111,-119.5630925,2533,36,ASPH,EXCELLENT,NONE,,,,,,MED,,,6,,,,19178.234375,2354.86840730198
7678,2025/11/27,26327.,A,WA,OLM,OLYMPIA RGNL,OLYMPIA,US,PU,PU,08/26,46.97132333,-122.9079825,46.96862888,-122.89180416,4157,150,ASPH,GOOD,NONE,,,,,,,,,30,,,,124352.7578125,3841.81605659953
7679,2025/11/27,26327.,A,WA,OLM,OLYMPIA RGNL,OLYMPIA,US,PU,PU,17/35,46.97636666,-122.90238888,46.96157777,-122.90670833,5500,150,ASPH,GOOD,GRVD,,,,,,HIGH,OWNER,2005/11/21,75,94,142,,164541.9140625,5053.72328205133
7680,2025/11/27,26328.1,A,WA,44T,HOSKINS FLD,OLYMPIA,US,PR,PU,07/25,46.99245116,-122.83187919,46.99235008,-122.82380436,2015,116,TURF,EXCELLENT,NONE,,,,,,,,,,,,,46664.5078125,1901.88468398771
7681,2025/11/27,26330.,A,WA,OMK,OMAK,OMAK,US,PU,PU,17/35,48.47072727,-119.51652677,48.45809716,-119.51957577,4667,75,ASPH,GOOD,GRVD,,,,,,MED,3RD PARTY SURVEY,2022/07/07,75,200,400,,73897.0703125,4363.52843493653
7683,2025/11/27,26333.,A,WA,0S7,DOROTHY SCOTT INTL,OROVILLE,US,PU,PU,15/33,48.964315,-119.41392005,48.95361341,-119.41000213,4017,50,ASPH,FAIR,NONE,,,,,,MED,,,5,,,,43235.6484375,3778.39223777755
7684,2025/11/27,26333.02,C,WA,1WA,SCOTT,OROVILLE,US,PU,PU,15W/33W,48.98527777,-119.44527777,48.95901163,-119.43338847,10000,500,WATER,,NONE,,,,,,,ADO,2024/12/04,,,,,1077027.8515625,9757.14350773813
7685,2025/11/27,26336.2,A,WA,S70,OTHELLO MUNI,OTHELLO,US,PU,PU,07/25,46.79433966,-119.08809113,46.79409477,-119.07212661,4000,75,ASPH,EXCELLENT,NONE,,,,,,MED,OWNER,2022/06/16,16,,,,59437.2734375,3622.08984999977
7686,2025/11/27,26341.,A,WA,55S,PACKWOOD,PACKWOOD,US,PU,PU,01/19,46.60099575,-121.68042313,46.60665888,-121.6759105,2357,60,ASPH,EXCELLENT,NONE,,,,,,MED,,,,,,,27816.6640625,2145.36913419436
7687,2025/11/27,26345.,A,WA,PSC,TRI-CITIES,PASCO,US,PU,PU,03L/21R,46.25595713,-119.13349163,46.27070894,-119.11167352,7707,150,ASPH,GOOD,GRVD,,,,,,HIGH,3RD PARTY SURVEY,2019/03/19,150,200,400,,224641.8046875,6926.69344840975
7688,2025/11/27,26345.,A,WA,PSC,TRI-CITIES,PASCO,US,PU,PU,03R/21L,46.26065447,-119.12201875,46.26911866,-119.10949547,4423,75,ASPH,FAIR,NONE,13,F,B,X,T,,3RD PARTY SURVEY,2019/03/19,52,85,108,150,64461.7109375,3965.38727147927
7689,2025/11/27,26345.,A,WA,PSC,TRI-CITIES,PASCO,US,PU,PU,12/30,46.27416241,-119.12893572,46.25903411,-119.10767861,7704,150,ASPH,GOOD,GRVD,,,,,,MED,3RD PARTY SURVEY,2024/05/01,150,200,400,,224567.8046875,6924.60570356788
7690,2025/11/27,26354.,A,WA,1RL,POINT ROBERTS AIRPARK,POINT ROBERTS,US,PR,PU,16/34,48.98024063,-123.07925677,48.97403125,-123.07921344,2265,125,TURF,GOOD,NONE,,,,,,,OWNER,2002/06/19,,,,,61015.078125,2222.1330215896
7691,2025/11/27,26357.,A,WA,CLM,WILLIAM R FAIRCHILD INTL,PORT ANGELES,US,PU,PU,09/27,48.12103652,-123.51151402,48.11665647,-123.48636711,6347,150,ASPH,EXCELLENT,GRVD,,,,,,MED,3RD PARTY SURVEY,2015/12/22,120,210,394,832,198320.4296875,5923.20503073211
7692,2025/11/27,26357.,A,WA,CLM,WILLIAM R FAIRCHILD INTL,PORT ANGELES,US,PU,PU,13/31,48.12656761,-123.50475836,48.11903769,-123.49760916,3255,50,ASPH,FAIR,NONE,,,,,,,3RD PARTY SURVEY,2015/12/22,30,,,,33906.953125,3018.93531094546
7694,2025/11/27,26363.,A,WA,0S9,JEFFERSON COUNTY INTL,PORT TOWNSEND,US,PU,PU,09/27,48.05477422,-122.81659036,48.0528343,-122.80467052,3000,75,ASPH,EXCELLENT,NONE,,,,,,MED,3RD PARTY SURVEY,2011/12/28,12.5,,,,46751.34375,2799.81494695048
7695,2025/11/27,26365.,C,WA,83Q,PORT OF POULSBO MARINA MOORAGE,POULSBO,US,PU,PU,13W/31W,47.73416666,-122.65611111,47.71416666,-122.63444444,9037,1200,WATER,,NONE,,,,,,,OWNER,2022/10/20,,,,,2224935.8515625,9277.08744574186
7697,2025/11/27,26369.,A,WA,S40,PROSSER,PROSSER,US,PU,PU,08/26,46.21339038,-119.80237844,46.21335305,-119.78874552,3452,61,ASPH,EXCELLENT,NONE,,,,,,MED,3RD PARTY SURVEY,2016/01/19,16,,,,40837.5859375,3089.06088352482
7698,2025/11/27,26372.,A,WA,PUW,PULLMAN/MOSCOW RGNL,PULLMAN/MOSCOW,US,PU,PU,05/23,46.73751097,-117.1244048,46.74587091,-117.09883419,7100,150,ASPH,GOOD,GRVD,,,,,,HIGH,3RD PARTY SURVEY,2019/10/01,120,168,227,658,210581.828125,6441.24221171256
7699,2025/11/27,26374.1,A,WA,PLU,PIERCE COUNTY/THUN FLD,PUYALLUP,US,PU,PU,17/35,47.10892422,-122.28712102,47.09891827,-122.28727788,3651,60,ASPH,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,2019/08/21,,,,,43890.0234375,3326.64741440832
7700,2025/11/27,26376.5,A,WA,UIL,QUILLAYUTE,QUILLAYUTE,US,PU,PU,04/22,47.93355186,-124.56992622,47.93960838,-124.55530461,4211,100,CONC,GOOD,NONE,,,,,,,3RD PARTY SURVEY,2021/10/19,30,50,,,87092.5859375,3918.32269558755
7701,2025/11/27,26376.83,A,WA,80T,QUINCY MUNI,QUINCY,US,PU,PU,09/27,47.21299822,-119.8469028,47.21020177,-119.83276033,3660,50,ASPH,GOOD,AFSC,,,,,,MED,NGS,1997/08/15,,,,,36825.1796875,3324.26779352742
7702,2025/11/27,26381.,A,WA,RNT,RENTON MUNI,RENTON,US,PU,PU,16/34,47.50047422,-122.21685294,47.48579525,-122.21463127,5382,200,ASPH-CONC,GOOD,GRVD,,,,,,MED,3RD PARTY SURVEY,2015/04/20,100,130,340,,218934.3671875,5042.12760218364
7703,2025/11/27,26384.12,A,WA,R49,FERRY COUNTY,REPUBLIC,US,PU,PU,17/35,48.72296527,-118.65560944,48.71344611,-118.65733333,3498,60,ASPH,GOOD,NONE,,,,,,MED,STATE,2002/06/12,,,,,44754.2890625,3290.45252116592
7704,2025/11/27,26386.1,A,WA,RLD,RICHLAND,RICHLAND,US,PU,PU,01/19,46.29996136,-119.30844797,46.30987502,-119.30159783,4009,75,ASPH,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,2020/02/27,30,45,70,,58509.140625,3606.43714241347
7705,2025/11/27,26386.1,A,WA,RLD,RICHLAND,RICHLAND,US,PU,PU,08/26,46.30688163,-119.31123386,46.30584183,-119.29547455,4001,100,ASPH,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,2020/02/27,30,45,70,,77868.734375,3612.97614382082
7706,2025/11/27,26386.6,A,WA,4S6,TIETON STATE,RIMROCK,US,PU,PU,02/20,46.63501916,-121.12735888,46.64008333,-121.12059861,2509,100,TURF,FAIR,NONE,,,,,,,,,,,,,49425.984375,2316.26685861818
7707,2025/11/27,26388.,A,WA,33S,PRU FLD,RITZVILLE,US,PU,PU,01/19,47.11929166,-118.39254722,47.12761666,-118.38610833,3433,40,ASPH,GOOD,NONE,,,,,,MED,ADO,2010/02/28,12.5,,,,27547.1328125,3113.9874280574
7708,2025/11/27,26389.1,A,WA,72S,ROSALIA MUNI,ROSALIA,US,PU,PU,02/20,47.23357097,-117.42492113,47.23956458,-117.41783555,2807,45,ASPH,GOOD,NONE,,,,,,MED,ADO,2010/07/27,15.5,,,,25439.9140625,2560.52584561667
7710,2025/11/27,26395.,A,WA,SEA,SEATTLE-TACOMA INTL,SEATTLE,US,PU,PU,16C/34C,47.46380986,-122.31098375,47.43797127,-122.31120983,9426,150,CONC,EXCELLENT,GRVD,,,,,,HIGH,3RD PARTY SURVEY,2015/07/29,120,250,550,1111,287068.8984375,8642.2109975008
7711,2025/11/27,26395.,A,WA,SEA,SEATTLE-TACOMA INTL,SEATTLE,US,PU,PU,16L/34R,47.46379522,-122.30775022,47.43117227,-122.30803825,11901,150,CONC,EXCELLENT,GRVD,,,,,,HIGH,3RD PARTY SURVEY,2015/07/29,120,250,550,1120,362396.6484375,10875.2286767241
7712,2025/11/27,26395.,A,WA,SEA,SEATTLE-TACOMA INTL,SEATTLE,US,PU,PU,16R/34L,47.46383636,-122.31785683,47.4405338,-122.31805805,8500,150,CONC,EXCELLENT,GRVD,,,,,,HIGH,3RD PARTY SURVEY,2015/07/29,120,250,482,1007,258905.9765625,7807.42342305496
7713,2025/11/27,26396.,A,WA,BFI,BOEING FLD/KING COUNTY INTL,SEATTLE,US,PU,PU,14L/32R,47.53801825,-122.30746025,47.52919352,-122.30000055,3709,100,ASPH,FAIR,GRVD,,,,,,MED,3RD PARTY SURVEY,2016/02/02,120,250,550,1109,75550.9140625,3440.80534534053
7714,2025/11/27,26396.,A,WA,BFI,BOEING FLD/KING COUNTY INTL,SEATTLE,US,PU,PU,14R/32L,47.54054283,-122.31135427,47.51673663,-122.29122772,10007,200,ASPH,GOOD,GRVD,,,,,,HIGH,3RD PARTY SURVEY,2016/02/02,100,200,500,800,407569.6796875,9218.86925611659
7715,2025/11/27,26401.,A,WA,11S,SEKIU,SEKIU,US,PU,PU,08/26,48.26686111,-124.32001611,48.26537166,-124.30791361,2997,50,ASPH,POOR,NONE,,,,,,LOW,STATE,2002/07/10,,,,,31398.734375,2785.98657859998
7719,2025/11/27,26402.1,A,WA,W28,SEQUIM VALLEY,SEQUIM,US,PR,PU,09/27,48.09934444,-123.19477777,48.0965,-123.18106388,3508,40,ASPH,EXCELLENT,NONE,,,,,,LOW,,,,,,,29207.8515625,3233.64338545828
7720,2025/11/27,26405.,A,WA,SHN,SANDERSON FLD,SHELTON,US,PU,PU,05/23,47.23097841,-123.15687602,47.23613969,-123.13820925,5005,100,ASPH,GOOD,NONE,17,F,A,Y,T,MED,3RD PARTY SURVEY,2010/02/04,55,72,130,,100801.1953125,4577.15483936607
7721,2025/11/27,26408.,A,WA,8W5,APEX AIRPARK,SILVERDALE,US,PR,PU,17/35,47.65981666,-122.73251388,47.65304722,-122.73384444,2491,28,ASPH,FAIR,NONE,,,,,,LOW,,,,,,,14273.390625,2282.3466985354
7722,2025/11/27,26411.,A,WA,S43,HARVEY FLD,SNOHOMISH,US,PR,PU,15L/33R,47.90833066,-122.10365994,47.90125377,-122.10085063,2672,36,ASPH,EXCELLENT,NONE,,,,,,LOW,3RD PARTY SURVEY,2016/06/30,10,,,,19872.46875,2464.83203268975
7723,2025/11/27,26411.,A,WA,S43,HARVEY FLD,SNOHOMISH,US,PR,PU,15R/33L,47.90816944,-122.10455833,47.90173333,-122.10200277,2430,100,TURF,EXCELLENT,NONE,,,,,,,STATE,2003/05/27,,,,,50204.2890625,2302.75776008393
7724,2025/11/27,26412.,A,WA,2S9,WILLAPA HARBOR,SOUTH BEND/RAYMOND/,US,PU,PU,11/29,46.70053611,-123.82761333,46.694705,-123.81915333,3005,52,ASPH,GOOD,NONE,,,,,,MED,,,12,,,,30848.8671875,2716.54374913744
7725,2025/11/27,26416.,A,WA,GEG,SPOKANE INTL,SPOKANE,US,PU,PU,03/21,47.6100808,-117.55007988,47.63121697,-117.51826591,11002,150,ASPH-CONC,EXCELLENT,GRVD,,,,,,HIGH,NGS,2012/03/01,200,200,400,,337204.03125,10080.9569299199
7726,2025/11/27,26416.,A,WA,GEG,SPOKANE INTL,SPOKANE,US,PU,PU,08/26,47.61696352,-117.55326775,47.61676783,-117.52002902,8199,150,ASPH,GOOD,GRVD,,,,,,MED,NGS,2012/03/01,150,180,280,,251280.1640625,7536.33671426061
7727,2025/11/27,26417.,A,WA,SFF,FELTS FLD,SPOKANE,US,PU,PU,04L/22R,47.6792003,-117.33138702,47.68641616,-117.31657677,4499,140,CONC,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,2017/10/24,30,,,,129015.1015625,4197.02529155386
7728,2025/11/27,26417.,A,WA,SFF,FELTS FLD,SPOKANE,US,PU,PU,04R/22L,47.68104022,-117.32414697,47.68528925,-117.3154213,2650,75,ASPH,FAIR,NONE,,,,,,,3RD PARTY SURVEY,2017/10/24,30,,,,40713.09375,2465.52140343135
7730,2025/11/27,26424.3,A,WA,13W,CAMANO ISLAND AIRFIELD,STANWOOD,US,PR,PU,16/34,48.25933477,-122.43618172,48.25453661,-122.43620511,1750,24,ASPH,FAIR,NONE,,,,,,,,,,,,,8798.046875,1626.434667505
7732,2025/11/27,26424.5,A,WA,16W,LITTLE GOOSE LOCK AND DAM,STARBUCK,US,PU,PU,07/25,46.58398252,-118.01034097,46.58388236,-117.99681713,3400,50,GRAVEL,POOR,NONE,,,,,,,,,,,,,33431.2109375,3055.51946135897
7733,2025/11/27,26425.,A,WA,6S9,STEHEKIN STATE,STEHEKIN,US,PU,PU,13/31,48.34893477,-120.7233808,48.34259663,-120.71822236,2630,100,TURF,FAIR,NONE,,,,,,,,,,,,,55283.6953125,2505.47626209766
7734,2025/11/27,26428.,A,WA,1S5,SUNNYSIDE MUNI,SUNNYSIDE,US,PU,PU,07/25,46.32709941,-119.97714061,46.32704769,-119.96358386,3425,60,ASPH,GOOD,NONE,,,,,,LOW,3RD PARTY SURVEY,2021/12/07,12.5,,,,40025.7734375,3071.35096472053
7736,2025/11/27,26434.4,A,WA,TIW,TACOMA NARROWS,TACOMA,US,PU,PU,17/35,47.27474483,-122.57687825,47.26113527,-122.57933547,5002,100,ASPH,GOOD,GRVD,,,,,,MED,3RD PARTY SURVEY,2017/03/15,50,80,80,150,100857.859375,4588.36054129541
7738,2025/11/27,26436.,A,WA,73S,WILLARD FLD,TEKOA,US,PU,PU,04/22,47.23393972,-117.04764916,47.23712777,-117.03985,2261,40,ASPH,FAIR,NONE,,,,,,MED,OWNER,2010/08/20,,,,,18205.3046875,2062.71279436192
7739,2025/11/27,26437.,A,WA,TDO,ED CARLSON MEML FLD/SOUTH LEWIS COUNTY,TOLEDO,US,PU,PU,06/24,46.47544636,-122.81500755,46.47889108,-122.79794347,4479,150,ASPH,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,2022/10/11,25,,,,131576.578125,4091.93781071912
7740,2025/11/27,26438.,A,WA,W01,TONASKET MUNI,TONASKET,US,PU,PU,15/33,48.72885722,-119.46754444,48.72087944,-119.46372555,3053,50,ASPH,FAIR,NONE,,,,,,MED,STATE,2003/04/09,,,,,32562.09375,2869.66617624269
7742,2025/11/27,26440.,A,WA,2S0,TWISP MUNI,TWISP,US,PU,PU,10/28,48.35234333,-120.09883916,48.34882722,-120.0890625,2701,60,ASPH-CONC,FAIR,NONE,,,,,,MED,STATE,2002/06/13,,,,,34068.3125,2530.01785722073
7743,2025/11/27,26444.,A,WA,VUO,PEARSON FLD,VANCOUVER,US,PU,PU,08/26,45.62109277,-122.66282333,45.61981194,-122.65015333,3275,60,ASPH,GOOD,NONE,,,,,,MED,NGS,1993/02/02,,,,,37319.0703125,2902.52405908479
7745,2025/11/27,26444.4,A,WA,W56,FLY FOR FUN,VANCOUVER,US,PR,PU,07/25,45.68725111,-122.526615,45.68730861,-122.51709083,2434,50,TURF,GOOD,NONE,,,,,,,STATE,2002/06/26,,,,,23166.90625,2164.23069795716
7746,2025/11/27,26448.,A,WA,2S1,VASHON MUNI,VASHON,US,PU,PU,17/35,47.46130861,-122.4764575,47.45586861,-122.47748638,2001,60,TURF,GOOD,NONE,,,,,,NSTD,,,,,,,24380.265625,1859.91288810167
7749,2025/11/27,26450.,A,WA,ALW,WALLA WALLA RGNL,WALLA WALLA,US,PU,PU,02/20,46.08532111,-118.29167583,46.09976616,-118.27648936,6527,150,CONC,GOOD,GRVD,,,,,,HIGH,3RD PARTY SURVEY,2018/01/18,84,107,164,,189065.3046875,5870.89505413222
7751,2025/11/27,26454.,A,WA,2S4,WARDEN,WARDEN,US,PU,PU,17/35,46.9696375,-119.06561194,46.96199294,-119.06705147,2811,60,ASPH,FAIR,NONE,,,,,,MED,STATE,2003/04/04,,,,,33633.2578125,2567.99023706896
7753,2025/11/27,26457.,A,WA,2S5,WATERVILLE,WATERVILLE,US,PU,PU,07/25,47.65602444,-120.06250527,47.65598388,-120.05042027,2978,50,ASPH,GOOD,NONE,,,,,,LOW,STATE,2002/06/10,5,,,,30475.5546875,2735.93165615916
7754,2025/11/27,26461.,A,WA,EAT,PANGBORN MEML,WENATCHEE,US,PU,PU,12/30,47.40574625,-120.21727163,47.39217116,-120.19729566,7000,150,ASPH,GOOD,NONE,,,,,,HIGH,3RD PARTY SURVEY,2016/07/29,116,192,,,212775.78125,6437.138066651
7755,2025/11/27,26463.,A,WA,14S,WESTPORT,WESTPORT,US,PU,PU,12/30,46.89926333,-124.10392361,46.89463805,-124.09756722,2318,50,ASPH,GOOD,NONE,,,,,,MED,,,,,,,23046.734375,2111.92227554614
7757,2025/11/27,26471.,A,WA,2S8,WILBUR,WILBUR,US,PU,PU,02/20,47.74913858,-118.74854911,47.75764261,-118.73927547,3851,60,ASPH,EXCELLENT,NONE,,,,,,MED,3RD PARTY SURVEY,2016/01/21,15.5,,,,47455.2109375,3546.25039209985
7758,2025/11/27,26477.,A,WA,S52,METHOW VALLEY STATE,WINTHROP,US,PU,PU,13/31,48.43074305,-120.15156777,48.41915305,-120.14020444,5049,75,ASPH,EXCELLENT,NONE,,,,,,MED,STATE,2002/06/13,30,,,,79824.4375,4707.86280070949
7759,2025/11/27,26478.1,A,WA,W27,WOODLAND STATE,WOODLAND,US,PU,PU,14/32,45.90199722,-122.73929444,45.89636777,-122.73572638,2245,25,ASPH,GOOD,NONE,,,,,,LOW,,,,,,,10763.5234375,1990.25773793601
7760,2025/11/27,26480.,A,WA,YKM,YAKIMA AIR TRML/MCALLISTER FLD,YAKIMA,US,PU,PU,04/22,46.56390036,-120.54813416,46.56917438,-120.53494702,3835,150,ASPH,POOR,PFC,,,,,,MED,3RD PARTY SURVEY,2018/11/13,70,80,120,,113007.0703125,3529.67801372275
7761,2025/11/27,26480.,A,WA,YKM,YAKIMA AIR TRML/MCALLISTER FLD,YAKIMA,US,PU,PU,09/27,46.5725518,-120.55953866,46.56542491,-120.53113122,7604,150,ASPH,EXCELLENT,GRVD,,,,,,HIGH,3RD PARTY SURVEY,2018/11/13,95,160,220,550,224103.890625,6865.7234110489
